celltype,Lineage_level,ChAT,SOX10,Nestin,Laminin,Channel-GFAP,Channel-IBA1,GAD67,5-HTT,Isl1,Tyrosine Hydroxylase,VGlut2,Calbindin
Cholinergic,1_0_1,1,0,0,0,0,0,0,0,0,0,0,0
Oligodendrocyte,1_0_2,0,1,0,0,0,0,0,0,0,0,0,0
Neuroepithelia,1_0_3,0,0,1,0,0,0,0,0,0,0,0,0
Vasculature,1_0_4,0,0,0,1,0,0,0,0,0,0,0,0
Astrocyte,1_0_5,0,0,0,0,1,0,0,0,0,0,0,0
Microglia,1_0_6,0,0,0,0,0,1,0,0,0,0,0,0
GABAergic,1_0_7,0,0,0,0,0,0,1,0,0,0,0,0
Serotonergic,1_0_8,0,0,0,0,0,0,0,1,0,0,0,0
Motor,1_0_9,0,0,0,0,0,0,0,0,1,0,0,0
Dopaminergic,1_0_10,0,0,0,0,0,0,0,0,0,1,0,0
Glutamatergic,1_0_11,0,0,0,0,0,0,0,0,0,0,1,0
Purkinje,1_0_12,0,0,0,0,0,0,0,0,0,0,0,1
